conversation_id,conversation_text,candidate_intent,candidate_count,group,sampling_type,gold_intent,label_reason,difficulty
2447398,"Customer: [USER] thanks for the gift card that was unusable. $50 someone wasted 😠

AmazonHelp: [USER] Oh no! We'd like to help if we can Brian! Please contact us via phone or chat here: ^AJ

Customer: @AmazonHelp They escalated and in minutes I had my balance in my account, great service!!!",APPRECIATION,16111,Common,STRATIFIED,PROMOTION_OR_DISCOUNT_PROBLEM,They received a gift card but it was unusable,Hard
2686757,"Customer: the second prime order in a row that the delivery date has changed to some day after the “guaranteed” day [USER] what am I️ paying for🤦🏾‍♀️

AmazonHelp: [USER] I'm very sorry for the inconvenience! Did we give a reason for the delay? Let us know, we'd be happy to help! ^SK

Customer: @AmazonHelp I️ don’t believe a reason was provided; I️ haven’t been able to find one. All I️ can see is that the delivery date has changed

AmazonHelp: [USER] Thanks for letting us know! Please keep us posted if you haven't received your order by the new delivery date specified. ^KJ",APPRECIATION,16111,Common,STRATIFIED,"	DELIVERY_DELAY",Guaranteed delivery date was missed and the delivery date was postponed.,Easy
2967720,"Customer: [USER] how can I apply for your NC jobs????

AmazonHelp: [USER] You can find and apply for available jobs here: ^CO

Customer: @AmazonHelp Thank you",APPRECIATION,16111,Common,STRATIFIED,GENERAL_INFORMATION,Customer is asking how to apply for amazon jobs,Easy
930181,"Customer: @AmazonHelp Recently moved from Kindle Voyage to Kindle Oasis. Wiped and sold the Voyage, and then realized that my notes weren’t brought over. I thought those were saved to the cloud somewhere. Am I out of luck? Any way to retrieve them from old/wiped device?

AmazonHelp: [USER] Thanks for contacting us today! We'd like to help if we can! To confirm, are you seeing your notes listed here: but not on the device? ^CS

Customer: @AmazonHelp That is correct. I am seeing them on that site. Both the ones on the Voyage, and the couple I’ve done on the Oasis, but on the Oasis, only seeing the ones made on that device.

AmazonHelp: [USER] Here's a link to our Help page with info on bookmarks, highlights, and notes: Please let us know if this doesn't solve the issue for you. ^BV

Customer: @AmazonHelp That just seems to tell me how to create new ones, that page doesn’t all seem relevant to the conversation previous to when ^BV replied. Whoever ^CS was seems to have figured it out.

AmazonHelp: [USER] The link provided by ^BV gives info on how to view your notes and highlights. Underneath each section about adding items, we'll also include instructions for viewing. When you try the ""View"" instructions, are you able to view your notes and highlights? ^WT

Customer: @AmazonHelp To be clear, I want to view them on my KINDLE, not on the website. How do I get them down to the Kindle again?

AmazonHelp: [USER] We'd be happy to do some live troubleshooting with you, if you'll please phone us here: Please keep us posted! ^LB

Customer: @AmazonHelp I don’t have time for phone call - there’s no way to get the old highlights/clippings (from previous Kindle) down from the website to my current kindle? Doesn’t seem to be a way to get them down from website to my new Kindle.",APPRECIATION,16111,Common,STRATIFIED,DIGITAL_CONTENT_PROBLEM,"	Customer cannot access previously saved Kindle notes/highlights on the new Kindle device.",Medium
1132075,"Customer: hi @AmazonHelp twitter rejected my report of the fraud account @ AmazoncHeIps (who are demanding my amazon login details) maybe you can try?

Customer: @AmazonHelp I didn't want to tag them even though I blocked them and now they blocked me, but I don't want people to fall for it and give over details

AmazonHelp: [USER] Jay, we'll make sure to get this reported on our end. Thanks for letting us know. ^EM

Customer: @AmazonHelp No prob. Twitter support notified me there was ""no violation"" but hopefully if you claim it as company they may listen!",APPRECIATION,16111,Common,STRATIFIED,SCAM_OR_FRAUD_CONCERN,Customer reports a fraudulent account impersonating Amazon and attempting to obtain login credentials.,Easy
1551751,"Customer: @AmazonHelp Hi, where can a Createspace/KDP author learn online about getting his books into an Amazon bookstore in his home town?

AmazonHelp: [USER] Thanks for the interest! Let's explore your options with Kindle Direct Publishing here: ^SH

Customer: @AmazonHelp You didn’t even read my question, did you? I’ve got 4 books already in KDP. This is about the physical store. #BotFail",GENERAL_INFORMATION,13867,Common,STRATIFIED,GENERAL_INFORMATION,Customer wants information about getting their books into a physical Amazon bookstore.,Medium
346732,"Customer: [USER] [USER] and since then no information. No texts or calls on it's status. No details of courier boy shared. Finally I call 2 of 3

AmazonHelp: [USER] I'm sorry for the trouble. Could you let us know the delivery date quoted for the order? ^GK

Customer: @AmazonHelp It was yesterday October 7, 2017. Today I get their first text saying ""delivery failed"" Not done bro. Not done. Sort it out quickly",GENERAL_INFORMATION,13867,Common,STRATIFIED,DELIVERY_ATTEMPT_PROBLEM,"	The expected delivery did not occur and the order was marked as a failed delivery attempt.",Medium
1447950,"Customer: Hey @AmazonHelp once again my package is delayed. 3rd time in a row. Is prime really worth it if my packages never get here in 2 days??

AmazonHelp: [USER] I'm so sorry for the wait! Do the orders have the same carrier in common? If so, who is it? ^MH

Customer: @AmazonHelp They do not have the same Carrier. It’s happened occasionally throughout the years but it’s happening all the time now.

AmazonHelp: [USER] I'm sorry for the troubles! Have you discussed these issues with the carriers directly? ^TK

Customer: @AmazonHelp Yes. They said they’ll deliver when they can. I live about an hour north of your biggest hub and can’t get packages delivered timely!

AmazonHelp: [USER] We'd like to look into these issues with you via phone, here: Please keep us posted! ^LB

Customer: @AmazonHelp I want you to see the tracking information. This is ridiculous!

AmazonHelp: [USER] I'm sorry for this poor experience! Please reach us directly by choosing ""phone"" here: ^HS

Customer: @AmazonHelp Still no package. Reached out to lasership and they said this morning. You should overnight my order so I have it tomorrow.

Customer: @AmazonHelp Going out of town on Sunday and needed items by then. Very upset with they way you are delivering now. Prime no longer worth the cost.

AmazonHelp: [USER] What options did you receive when you contacted us using the link previously provided? ^DA",GENERAL_INFORMATION,13867,Common,STRATIFIED,"	DELIVERY_DELAY",Customer repeatedly experiences delayed deliveries and does not receive packages within the expected timeframe.,Medium
863820,"Customer: [USER] @AmazonHelp [USER] #WhyIWrite i want people to think 100times before buy with amazon, they made me cry like anything

Customer: [USER] @AmazonHelp [USER] For refund you make cutomer cry like this, send them desk to desk to beg

AmazonHelp: [USER] I understand your concern. Please reply to the email you've received from our specialist team. They'll get back to you soon. ^HD

AmazonHelp: [USER] Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^HD

Customer: [USER] @AmazonHelp [USER] Everyday i am having call with amazon for 1hr pleading and begging to give my money back... and amazon just screams back “wait” #shame

AmazonHelp: [USER] From the screenshot shared earlier, I see that this issue has been escalated to the highest point of escalation. 1/2 ^HD

AmazonHelp: [USER] Please reply to the email you've received from the specialist team and they'll get back to you. 2/2 ^HD

Customer: @AmazonHelp [USER] [USER] [USER] what highest escalation point you talking about, they have never contacted after the mail

Customer: @AmazonHelp [USER] [USER] [USER] none of your team members are ready to help, they just slam the call on face with sorry

Customer: @AmazonHelp [USER] [USER] [USER] [USER] tweeting since 3days, even you guys neva responded. You made me beg for my money, never expected..

AmazonHelp: [USER] We have responded to you via DM. Please check. ^SQ

Customer: @AmazonHelp [USER] [USER] [USER] [USER] Still people from amazon are asking me details of order which I explained them 20times This is how you guys kill the customer?

Customer: @AmazonHelp [USER] [USER] [USER] [USER] This will be the last time shopping with amazon I am ant my money back from amazon which they have not initiated yet

AmazonHelp: [USER] Apologies for the bad experience with the refund of the order. As mentioned earlier, ^AK (1/2)

AmazonHelp: [USER] kindly reply to the email sent by our specialist team and they'll get in touch with you soon. Appreciate your patience. ^AK 2/2

Customer: @AmazonHelp [USER] [USER] [USER] [USER] Amazon team without even understanding the issue are replying me back Please know the facts first All ur executives slammed ph on my face.

Customer: @AmazonHelp [USER] [USER] [USER] [USER] @AmazonHelp [USER] [USER] [USER] i have been calling amazon and requesting them to call me back, but all slammed the phone on my face

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] i have been calling amazon and requesting them to call me back, but all slammed the phone on my face

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] i have emailed them with all the bills, but still you guys are not ready help customer

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] i would really request people to see this tweet chain, to see how bad they behave with customer.

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] [USER] with out even knowing the facts amazon is replying to me.

AmazonHelp: [USER] team, they will reach out to you. (2/2) ^GK

AmazonHelp: [USER] I get your disappointment. Once you write back to the email you've received from our specialist (1/2) ^GK

Customer: @AmazonHelp [USER] [USER] [USER] [USER] #AForcaDoQuererFinal i want people to help me retweeting this tweet, as amazon and his ceo is jot ready to help and want me to beg them.

Customer: @AmazonHelp [USER] [USER] [USER] [USER] Even the ceo of the company is enjoying seeing the customer beg to him for his own money.

Customer: @AmazonHelp [USER] [USER] [USER] [USER] This will by last time shopping with amazon, really appreciate how amazon and his team behaves in worst manner possible with the customer

Customer: @AmazonHelp [USER] [USER] [USER] [USER] Enough how amazon is making me cry for my money I want people to support me now #AForcaDoAQuererfinal #ShowtimeLetsCelebr8

Customer: @AmazonHelp [USER] [USER] [USER] [USER] Shame on amazon, despite tweeting and requesting these guys are not even contacting the customer

Customer: @AmazonHelp [USER] [USER] [USER] [USER] See how attitude they have, they are even ready to make the customers cry, and the ceo is enjoying this

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] see hoe amazon is bot responding atall now My worst ever shopping with amazon [USER] [USER]

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Amazon is just torturing like anything me, for my money, i keep on plead them they keep on slamming the ph on my face

AmazonHelp: [USER] Hello Akshay, I assure you, our team is working on your concern and will get back to you with an update on priority. ^RS

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] amazon is giving me mental torture now😭😭, no specialist from amazon called me or helped me in issue

AmazonHelp: [USER] your concern, kindly pick their correspondence and reply for updates &amp; further assistance. 2/2 ^MJ

AmazonHelp: [USER] I'm sorry for the poor experience lately, our executive customer relations team wrote an email with regard to 1/2 ^MJ

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Are you guys working in sleep, i did not get any call or mail ok, which concern team your talking about. See the way your talking to me

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Is this the way you talk to your customer, without even checking the details you are coming and givig this statement

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Again marking it in bold “none of your customer executive contacted me”

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] You guys are just torturing me to the hell, mentally i am getting tortured by amazon

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] When will you intiate my refund? When will your customer executive call me? When will your highest escalation team call me?

AmazonHelp: [USER] Sorry for the mess. Please drop in your details here: I'll look into the issue for you. ^ST

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] No body from the amazon team is ready help again marking with bold “24hours have passed no body contacted”

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] I have dropped a mail to ceo desk to but nobody contacted

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] #AForçaDoQuererFinal #ShowtimeOctoBest #TwitterIn4Words #ALDUBxEBLoveis amazon is not ready to call and help me atall for my refund

AmazonHelp: [USER] I understand your concern. Request you to wait while the team works on your issue and get back to you. ^ST

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] See the way amazon speaks, so rude. Is this the way you deal with your customer? #AForçaDoQuererFinal #ShowtimeLetsCelebr8 #TwitterIn4words

AmazonHelp: [USER] I'm sorry that you have not received a callback, we have been requesting to fill in 1/2 ^MJ

AmazonHelp: [USER] your details in the secured link to help. Appreciate your understanding. 2/2 ^MJ

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] [USER] [USER] #TwitterIn4words what happened? I gave my details to you right? Now what?

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] When will you guys give me my refund?

AmazonHelp: [USER] You must have received a correspondence to your registered email address, request you to check the same. ^SH

Customer: @AmazonHelp @AmazonHelp [USER] [USER] [USER] [USER] [USER] #TwitterIn4words NO i have not received any correspondence to my registered email ID

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] this is the link you guys provided, i did not receive any mail after registering here, are you guys playing with me?

AmazonHelp: [USER] Kindly check for the correspondence here: In case, you don't see any E-mail from us, please (1/2) ^MO

AmazonHelp: [USER] share your details here: and I'll get back to you soon. (2/2) ^MO

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] Seriously never expected from amazon, i really do jot want to shop with you guys ever,you guys killing the customer to core #TwitterIn4Words

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] Just see how amazon torture the customer, see how many calls i made to amazon, still no response. #AForçaDoQuererFinal #El155ARV

Customer: @AmazonHelp [USER] [USER] [USER] [USER] [USER] Please i want the CEO [USER] to help me out because all your folks are not helping me atall #AForçaDoQuererFinal #El155ARV 🙏🙏🙏

AmazonHelp: [USER] I get your disappointment, Akshay. Could you confirm, submitting your details using the link shared earlier? ^MP

AmazonHelp: [USER] Kindly fill your details using the form provided earlier, we will be able to assist you then. ^JS",GENERAL_INFORMATION,13867,Common,STRATIFIED,REFUND_PROBLEM,"Despite calls, emails, and escalations, the customer's core unresolved need throughout the thread is that the refund for their order has not been processed.",Easy
525543,"Customer: [USER] Regarding my [USER] shipment with tracking# Z46364094, I could see that delivery is attempted but the product is not delivered. My mobile number is currently inactive. Could you please ask the delivery agent to call me @ +914448563300 if he doesn't know the address.

AmazonHelp: [USER] I'm sorry, can you please let us know if we have missed the estimated delivery date? Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^SI",GENERAL_INFORMATION,13867,Common,STRATIFIED,DELIVERY_ATTEMPT_PROBLEM,"Delivery was attempted but not completed, and the customer is asking for the delivery agent to be given alternate contact info since their number is inactive",Medium
